species_pair,phylogeny,group,total,positive,negative
14_1-338_1,1.7928189159999997,IBD,201,0,201
14_1-338_1,1.7928189159999997,non-IBD,221,0,221
14_1-42_2,0.8609911590000001,IBD,27,0,27
14_1-42_2,0.8609911590000001,non-IBD,33,5,28
14_1-44_3,0.8733627469999998,IBD,42,10,32
14_1-44_3,0.8733627469999998,non-IBD,26,10,16
14_1-45_1,0.9528290599999996,IBD,219,3,216
14_1-45_1,0.9528290599999996,non-IBD,106,33,73
14_1-48_2,0.8836744359999997,IBD,60,6,54
14_1-48_2,0.8836744359999997,non-IBD,96,18,78
14_1-66_5,1.6714506109999998,IBD,73,0,73
14_1-66_5,1.6714506109999998,non-IBD,161,0,161
14_1-96_1,2.301790684,IBD,14,0,14
14_1-96_1,2.301790684,non-IBD,15,0,15
14_1-97_1,2.333938765,IBD,29,0,29
14_1-97_1,2.333938765,non-IBD,15,0,15
171_1-66_5,1.98513711,IBD,26,0,26
171_1-66_5,1.98513711,non-IBD,25,0,25
179_1-229_3,1.1942607229999993,IBD,90,0,90
179_1-229_3,1.1942607229999993,non-IBD,74,0,74
179_1-233_3,1.1965933599999996,IBD,26,0,26
179_1-233_3,1.1965933599999996,non-IBD,20,0,20
179_1-26_2,2.199409874,IBD,54,0,54
179_1-26_2,2.199409874,non-IBD,11,0,11
179_1-338_1,1.63545314,IBD,54,0,54
179_1-338_1,1.63545314,non-IBD,130,0,130
179_1-46_1,2.044608064,IBD,13,0,13
179_1-46_1,2.044608064,non-IBD,22,0,22
179_1-48_2,2.106830064,IBD,12,0,12
179_1-48_2,2.106830064,non-IBD,15,0,15
180_1-229_3,1.206736487999999,IBD,30,0,30
180_1-229_3,1.206736487999999,non-IBD,26,0,26
180_1-238_3,1.1871801149999994,IBD,45,0,45
180_1-238_3,1.1871801149999994,non-IBD,63,0,63
180_1-335_1,1.6137631229999998,IBD,12,0,12
180_1-335_1,1.6137631229999998,non-IBD,74,0,74
180_1-338_1,1.6479289049999994,IBD,72,0,72
180_1-338_1,1.6479289049999994,non-IBD,41,0,41
180_1-45_1,2.188460453,IBD,78,0,78
180_1-45_1,2.188460453,non-IBD,18,0,18
180_1-48_2,2.1193058289999995,IBD,30,0,30
180_1-48_2,2.1193058289999995,non-IBD,18,0,18
180_1-66_5,1.7308080059999995,IBD,154,0,154
180_1-66_5,1.7308080059999995,non-IBD,74,0,74
181_3-229_3,1.2014751089999995,IBD,19,0,19
181_3-229_3,1.2014751089999995,non-IBD,95,0,95
181_3-335_1,1.6085017439999996,IBD,24,0,24
181_3-335_1,1.6085017439999996,non-IBD,211,0,211
181_3-338_1,1.6426675259999997,IBD,17,0,17
181_3-338_1,1.6426675259999997,non-IBD,99,0,99
181_3-45_1,2.183199074,IBD,30,0,30
181_3-45_1,2.183199074,non-IBD,21,0,21
181_3-66_5,1.7255466269999995,IBD,23,0,23
181_3-66_5,1.7255466269999995,non-IBD,70,0,70
192_1-335_1,1.617319461,IBD,20,0,20
192_1-335_1,1.617319461,non-IBD,33,0,33
192_1-338_1,1.6514852429999995,IBD,13,0,13
192_1-338_1,1.6514852429999995,non-IBD,96,0,96
193_2-45_1,2.2214150269999995,IBD,29,0,29
