species_pair,phylogeny,group,total,HGT,non_HGT
120_1-298_1,0.974573961,between,3457,0,3457
120_1-318_56,1.7322336229999995,within,34,0,34
120_1-318_56,1.7322336229999995,between,55307,0,55307
120_1-326_1,1.781889309,within,353,0,353
120_1-326_1,1.781889309,between,33187,0,33187
120_1-334_1,1.8656815729999996,within,22,0,22
120_1-334_1,1.8656815729999996,between,52868,1,52867
120_1-334_3,1.8728279369999996,within,77,0,77
120_1-334_3,1.8728279369999996,between,28819,0,28819
120_1-335_1,1.8628850759999993,within,1138,0,1138
120_1-335_1,1.8628850759999993,between,751577,0,751577
120_1-338_1,1.897050858,within,409,0,409
120_1-338_1,1.897050858,between,494177,0,494177
120_1-42_2,2.345744504999999,within,34,0,34
120_1-42_2,2.345744504999999,between,37763,0,37763
120_1-44_3,2.3581160929999996,within,45,0,45
120_1-44_3,2.3581160929999996,between,66261,0,66261
120_1-45_1,2.4375824059999993,within,126,0,126
120_1-45_1,2.4375824059999993,between,254778,0,254778
120_1-46_1,2.3062057819999997,within,70,0,70
120_1-46_1,2.3062057819999997,between,85328,0,85328
120_1-48_2,2.3684277819999995,within,107,0,107
120_1-48_2,2.3684277819999995,between,145405,0,145405
120_1-66_5,1.9799299589999997,within,491,0,491
120_1-66_5,1.9799299589999997,between,328072,0,328072
120_1-76_2,1.976303795,within,226,0,226
120_1-76_2,1.976303795,between,7385,0,7385
120_1-80_1,1.882311719,within,32,0,32
120_1-80_1,1.882311719,between,1129,0,1129
120_1-96_1,0.666779832,within,26,0,26
120_1-96_1,0.666779832,between,34159,191,33968
120_1-99_2,0.49886843999999986,within,30,0,30
120_1-99_2,0.49886843999999986,between,2679,0,2679
121_1-180_1,1.3471532579999996,within,50,0,50
121_1-180_1,1.3471532579999996,between,505,0,505
121_1-226_1,0.7147998999999996,within,25,0,25
121_1-226_1,0.7147998999999996,between,2390,0,2390
121_1-335_1,1.972817680999999,within,50,0,50
121_1-335_1,1.972817680999999,between,87475,0,87475
121_1-338_1,2.006983463,within,140,0,140
121_1-338_1,2.006983463,between,57370,0,57370
121_1-45_1,2.5475150109999993,within,94,0,94
121_1-45_1,2.5475150109999993,between,29546,0,29546
121_1-66_5,2.0898625639999997,within,132,0,132
121_1-66_5,2.0898625639999997,between,38073,0,38073
121_1-96_1,0.776712437,within,35,0,35
121_1-96_1,0.776712437,between,3940,0,3940
121_1-97_1,0.8088605179999999,within,32,0,32
121_1-97_1,0.8088605179999999,between,4273,0,4273
121_1-99_2,0.6088010449999999,within,25,0,25
121_1-99_2,0.6088010449999999,between,290,0,290
122_1-229_3,0.7890411539999995,within,31,0,31
122_1-229_3,0.7890411539999995,between,8825,0,8825
122_1-335_1,1.947295929,within,185,0,185
122_1-335_1,1.947295929,between,104845,0,104845
122_1-338_1,1.9814617109999997,within,73,0,73
122_1-338_1,1.9814617109999997,between,68939,0,68939
122_1-45_1,2.5219932589999994,within,26,0,26
122_1-45_1,2.5219932589999994,between,35542,0,35542
122_1-66_5,2.0643408119999997,within,51,0,51
122_1-66_5,2.0643408119999997,between,45795,0,45795
123_0-45_1,2.5436953639999995,within,36,0,36
123_0-45_1,2.5436953639999995,between,1940,0,1940
124_1-226_1,0.6749279170000002,within,31,0,31
124_1-226_1,0.6749279170000002,between,6409,0,6409
124_1-26_2,2.531068214,within,49,0,49
124_1-26_2,2.531068214,between,19111,0,19111
124_1-330_1,1.95427038,within,29,0,29
124_1-330_1,1.95427038,between,5011,0,5011
124_1-335_1,1.932945698,within,411,0,411
124_1-335_1,1.932945698,between,232989,0,232989
124_1-338_1,1.9671114799999996,within,175,0,175
124_1-338_1,1.9671114799999996,between,153185,0,153185
124_1-42_2,2.415805127,within,28,0,28
124_1-42_2,2.415805127,between,11692,0,11692
124_1-43_1,2.422394137,within,42,0,42
124_1-43_1,2.422394137,between,8838,0,8838
124_1-44_1,2.4274662749999996,within,22,0,22
124_1-44_1,2.4274662749999996,between,10058,0,10058
124_1-44_3,2.428176715,within,48,0,48
124_1-44_3,2.428176715,between,20512,0,20512
124_1-45_1,2.5076430279999995,within,53,0,53
124_1-45_1,2.5076430279999995,between,78987,0,78987
124_1-46_1,2.376266403999999,within,90,0,90
124_1-46_1,2.376266403999999,between,26390,0,26390
124_1-48_2,2.4384884039999997,within,62,0,62
124_1-48_2,2.4384884039999997,between,45058,0,45058
124_1-66_5,2.049990581,within,135,0,135
124_1-66_5,2.049990581,between,101745,0,101745
124_1-96_1,0.7368404540000002,within,28,0,28
124_1-96_1,0.7368404540000002,between,10572,0,10572
125_1-14_1,2.2357639419999997,within,22,0,22
125_1-14_1,2.2357639419999997,between,11294,0,11294
125_1-20_1,2.475968841,within,23,0,23
125_1-20_1,2.475968841,between,18607,0,18607
125_1-229_3,0.7320696649999996,within,143,0,143
125_1-229_3,0.7320696649999996,between,67753,0,67753
125_1-233_1,0.7331417600000001,within,21,0,21
125_1-233_1,0.7331417600000001,between,3015,0,3015
125_1-233_3,0.7344023019999999,within,26,0,26
125_1-233_3,0.7344023019999999,between,9082,0,9082
125_1-238_3,0.7125132919999997,within,30,0,30
125_1-238_3,0.7125132919999997,between,8802,0,8802
125_1-26_2,2.4884469559999993,within,72,0,72
125_1-26_2,2.4884469559999993,between,66030,0,66030
125_1-283_1,1.4454351129999998,within,38,0,38
125_1-283_1,1.4454351129999998,between,12934,0,12934
125_1-318_54,1.7620495349999998,within,21,0,21
125_1-318_54,1.7620495349999998,between,8673,0,8673
125_1-318_56,1.759672987,within,64,0,64
125_1-318_56,1.759672987,between,59138,0,59138
125_1-32_1,2.3727096369999994,within,51,0,51
125_1-32_1,2.3727096369999994,between,68121,0,68121
125_1-332_1,1.938261489,within,56,0,56
125_1-332_1,1.938261489,between,8638,0,8638
125_1-334_1,1.8931209369999995,within,84,0,84
125_1-334_1,1.8931209369999995,between,56496,0,56496
125_1-334_3,1.9002673009999995,within,48,0,48
125_1-334_3,1.9002673009999995,between,30864,0,30864
125_1-335_1,1.8903244399999992,within,1390,0,1390
125_1-335_1,1.8903244399999992,between,803840,0,803840
125_1-338_1,1.924490222,within,843,0,843
125_1-338_1,1.924490222,between,528249,0,528249
125_1-39_5,2.3824842229999996,within,33,0,33
125_1-39_5,2.3824842229999996,between,27429,0,27429
125_1-42_2,2.3731838689999996,within,93,0,93
125_1-42_2,2.3731838689999996,between,40341,0,40341
125_1-43_1,2.379772879,within,29,0,29
125_1-43_1,2.379772879,between,30607,0,30607
125_1-44_1,2.3848450169999995,within,42,0,42
125_1-44_1,2.3848450169999995,between,34734,0,34734
125_1-44_3,2.3855554569999997,within,88,0,88
125_1-44_3,2.3855554569999997,between,70844,0,70844
125_1-45_1,2.465021769999999,within,602,0,602
125_1-45_1,2.465021769999999,between,272086,0,272086
125_1-46_1,2.333645146,within,136,0,136
125_1-46_1,2.333645146,between,91220,0,91220
125_1-48_2,2.3958671459999996,within,261,0,261
125_1-48_2,2.3958671459999996,between,155403,0,155403
125_1-66_5,2.007369323,within,471,0,471
125_1-66_5,2.007369323,between,351015,0,351015
125_1-90_1,0.45956413799999973,within,27,0,27
125_1-90_1,0.45956413799999973,between,16257,13,16244
125_1-96_1,0.6942191960000001,within,99,0,99
125_1-96_1,0.6942191960000001,between,36471,36,36435
125_1-97_1,0.726367277,within,93,1,92
125_1-97_1,0.726367277,between,39513,32,39481
128_2-219_1,1.4554732789999996,within,90,0,90
128_2-219_1,1.4554732789999996,between,210,0,210
128_2-326_1,1.827295648,within,24,0,24
128_2-326_1,1.827295648,between,1016,0,1016
128_2-337_1,1.950281932,within,27,0,27
128_2-337_1,1.950281932,between,125,20,105
12_1-32_1,1.0361317329999995,within,33,0,33
12_1-32_1,1.0361317329999995,between,9847,464,9383
12_1-335_1,1.6767496159999995,within,161,0,161
12_1-335_1,1.6767496159999995,between,116539,0,116539
12_1-338_1,1.7109153979999998,within,109,0,109
12_1-338_1,1.7109153979999998,between,76571,1,76570
12_1-45_1,1.1284438659999991,within,24,3,21
12_1-45_1,1.1284438659999991,between,39496,3594,35902
12_1-46_1,0.9970672419999996,within,24,2,22
12_1-46_1,0.9970672419999996,between,13216,1328,11888
12_1-48_2,1.0592892419999995,within,47,4,43
12_1-48_2,1.0592892419999995,between,22513,2629,19884
12_1-66_5,1.589547093,within,62,0,62
12_1-66_5,1.589547093,between,50878,3,50875
138_1-193_2,1.336085812,within,25,0,25
138_1-193_2,1.336085812,between,921,0,921
138_1-335_1,1.854975651,within,77,0,77
138_1-335_1,1.854975651,between,64108,8,64100
138_1-338_1,1.8891414329999996,within,58,0,58
138_1-338_1,1.8891414329999996,between,42116,45,42071
13_1-229_3,2.024765751999999,within,25,0,25
13_1-229_3,2.024765751999999,between,15719,0,15719
13_1-238_3,2.0052093789999996,within,30,0,30
13_1-238_3,2.0052093789999996,between,2018,0,2018
13_1-239_1,2.0052125189999996,within,60,0,60
13_1-239_1,2.0052125189999996,between,740,0,740
13_1-26_2,1.0806979089999995,within,39,9,30
13_1-26_2,1.0806979089999995,between,15289,886,14403
13_1-318_17,1.4772622519999998,within,27,0,27
13_1-318_17,1.4772622519999998,between,261,0,261
13_1-335_1,1.6055784729999998,within,422,0,422
13_1-335_1,1.6055784729999998,between,186298,0,186298
13_1-338_1,1.639744255,within,281,0,281
13_1-338_1,1.639744255,between,122407,1,122406
13_1-42_2,0.9654348219999996,within,23,1,22
13_1-42_2,0.9654348219999996,between,9353,373,8980
13_1-44_3,0.97780641,within,25,0,25
13_1-44_3,0.97780641,between,16423,1013,15410
13_1-45_1,1.0572727229999992,within,181,5,176
13_1-45_1,1.0572727229999992,between,63051,3334,59717
13_1-46_1,0.9258960989999996,within,22,6,16
13_1-46_1,0.9258960989999996,between,21162,1280,19882
13_1-48_2,0.9881180989999998,within,68,5,63
13_1-48_2,0.9881180989999998,between,36028,2325,33703
13_1-66_3,1.525418166,within,24,0,24
13_1-66_3,1.525418166,between,1384,0,1384
13_1-66_5,1.51837595,within,122,0,122
13_1-66_5,1.51837595,between,81382,3,81379
