variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_86	6.35E-02	1.75E-03	3.40E+00		0.0359002	2.756962
Muramidase domain-containing protein	4.92E-01	1.76E-03	-2.07E+00		0.0359326	2.754487
group_6329	1.67E-01	1.77E-03	2.32E+00		0.0359647	2.752027
group_4268	7.38E-01	1.81E-03	-2.67E+00		0.0366032	2.742321
group_1572	3.02E-01	1.86E-03	1.85E+00		0.0374369	2.730487
group_2015	5.79E-01	1.93E-03	3.14E+00		0.0386634	2.714443
group_2469	3.57E-01	2.00E-03	-3.82E+00		0.0398785	2.698970
group_13812	1.35E-01	2.01E-03	-3.64E+00		0.0398915	2.696804
group_5714	1.98E-01	2.06E-03	-2.90E+00		0.0406945	2.686133
group_4903	8.73E-01	2.10E-03	2.71E+00		0.0412935	2.677781
group_7770	4.05E-01	2.12E-03	2.49E+00		0.0414956	2.673664
group_612	1.67E-01	2.14E-03	-3.12E+00		0.0416958	2.669586
Deleted in lung and esophageal cancer protein 1	8.73E-02	2.18E-03	3.96E+00		0.0420908	2.661544
group_1125	5.56E-01	2.18E-03	2.84E+00		0.0420908	2.661544
group_7883	7.14E-02	2.19E-03	3.68E+00		0.0420934	2.659556
group_6089	3.25E-01	2.25E-03	-2.30E+00		0.0430476	2.647817
group_4854	3.25E-01	2.26E-03	-4.64E+00		0.0430476	2.645892
group_6530	1.19E-01	2.27E-03	2.91E+00		0.0430476	2.643974
group_6485	2.06E-01	2.28E-03	-2.52E+00		0.0430476	2.642065
Putative non-specific DNA binding protein	2.78E-01	2.32E-03	2.37E+00		0.0436099	2.634512
group_12433	4.84E-01	2.36E-03	2.80E+00		0.0441672	2.627088
group_6692	1.98E-01	2.47E-03	3.03E+00		0.046024	2.607303
group_1170	2.22E-01	2.50E-03	-3.00E+00		0.0463804	2.602060
group_277	1.27E-01	2.52E-03	-3.16E+00		0.0465491	2.598599
Transcriptional regulator, y4mF family protein	8.02E-01	2.54E-03	-3.04E+00		0.0466989	2.595166
Phage integrase family protein	5.24E-01	2.55E-03	3.19E+00		0.0466989	2.593460
group_14641	1.67E-01	2.58E-03	3.23E+00		0.0470464	2.588380
Prophage protein	8.02E-01	2.65E-03	-2.51E+00		0.0475037	2.576754
group_22213	1.27E-01	2.69E-03	4.33E+00		0.0475037	2.570248
group_22215	1.27E-01	2.69E-03	4.33E+00		0.0475037	2.570248
group_8899	1.27E-01	2.69E-03	4.33E+00		0.0475037	2.570248
group_22214	1.27E-01	2.69E-03	4.33E+00		0.0475037	2.570248
group_1404	1.83E-01	2.80E-03	-3.63E+00		0.0475037	2.552842
group_2943	1.67E-01	2.82E-03	2.15E+00		0.0475037	2.549751
terZ	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
VWA domain-containing protein	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
Kinase	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
terY	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
group_3714	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
PPM-type phosphatase domain-containing protein	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
von Willebrand factor type A domain protein	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
group_11393	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
group_8411	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
csbD	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
Stress response protein SCP2	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
Tellurium resistance protein	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
General stress protein 16U	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
group_21890	1.43E-01	2.85E-03	4.32E+00		0.0475037	2.545155
group_6513	2.46E-01	2.85E-03	2.47E+00		0.0475037	2.545155
group_6496	2.38E-01	3.02E-03	-2.91E+00		0.049727	2.519993
group_668	1.27E-01	3.03E-03	3.40E+00		0.049727	2.518557
N-acetylglucosamine repressor	8.10E-01	3.03E-03	-2.62E+00		0.049727	2.518557
group_4140	1.90E-01	3.03E-03	2.62E+00		0.049727	2.518557
