variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_16224	1.57E-01	1.01E-03	-1.74E+00		0.0239019	2.995679
group_12570	2.64E-01	1.01E-03	1.44E+00		0.0239019	2.995679
group_30218	3.22E-02	1.03E-03	3.37E+00		0.0243233	2.987163
group_9749	7.08E-02	1.04E-03	1.54E+00		0.0244554	2.982967
group_28211	3.78E-01	1.04E-03	-1.17E+00		0.0244554	2.982967
Porin subfamily	9.72E-01	1.05E-03	-2.06E+00		0.0245346	2.978811
YARHG domain-containing protein	5.36E-02	1.05E-03	1.69E+00		0.0245346	2.978811
group_14236	7.30E-02	1.05E-03	1.54E+00		0.0245346	2.978811
group_11454	1.12E-01	1.06E-03	1.38E+00		0.0246128	2.974694
DUF5457 domain-containing protein	1.12E-01	1.06E-03	1.38E+00		0.0246128	2.974694
Urea transporter	8.28E-01	1.06E-03	-1.15E+00		0.0246128	2.974694
group_9824	5.58E-02	1.07E-03	1.76E+00		0.0247932	2.970616
group_1915	9.55E-01	1.08E-03	-1.74E+00		0.0249208	2.966576
group_430	7.19E-01	1.08E-03	-1.01E+00		0.0249208	2.966576
group_7709	2.36E-02	1.09E-03	2.30E+00		0.0250994	2.962574
group_5150	1.16E-01	1.12E-03	1.42E+00		0.0257368	2.950782
group_3798	2.79E-02	1.13E-03	2.39E+00		0.0258595	2.946922
group_16326	1.48E-01	1.13E-03	1.20E+00		0.0258595	2.946922
group_28401	4.74E-01	1.14E-03	-1.45E+00		0.0260347	2.943095
group_8872	7.94E-02	1.15E-03	1.54E+00		0.0262091	2.939302
group_29062	2.32E-01	1.17E-03	-2.74E+00		0.0264477	2.931814
group_29060	2.32E-01	1.17E-03	-2.74E+00		0.0264477	2.931814
Adenine nucleotide alpha hydrolase family protein	9.76E-01	1.17E-03	-2.27E+00		0.0264477	2.931814
group_3573	3.52E-01	1.17E-03	1.20E+00		0.0264477	2.931814
group_22695	3.22E-02	1.18E-03	3.32E+00		0.0266196	2.928118
group_7514	1.01E-01	1.19E-03	1.66E+00		0.0267365	2.924453
Zeta-toxin domain-containing protein	2.83E-01	1.19E-03	-1.32E+00		0.0267365	2.924453
group_32452	3.65E-02	1.21E-03	2.48E+00		0.0270217	2.917215
group_7515	8.97E-01	1.21E-03	-1.66E+00		0.0270217	2.917215
group_21218	2.36E-01	1.21E-03	1.13E+00		0.0270217	2.917215
group_23145	7.08E-02	1.23E-03	1.59E+00		0.0273583	2.910095
group_5251	1.52E-01	1.23E-03	1.25E+00		0.0273583	2.910095
group_8164	9.46E-01	1.24E-03	-1.72E+00		0.0275255	2.906578
UPF0145 protein DWW83_20965	1.12E-01	1.26E-03	-1.94E+00		0.0279137	2.899629
